,Isocode,Country,Year,PopMale,PopFemale,PopTotal,GrowthRate,PopDensity,GDP,CO2,TFR,LEx,LExMale,LExFemale,CO2.norm,GDP.norm,PopTotal.norm,TFR.norm,Tech,Region
4,AFG,Afghanistan,1960,4459.543,4314.897,8774.44,2.0206,13.456,739.41,0.012878315,7.671,31.575,31.282,31.893,0.206956159,1.224090449,0.74795803,0.997918564,0.174, Southeast Asia
68,AFG,Afghanistan,1961,4549.481,4404.063,8953.544,2.0806,13.731,729.93,0.014966141,7.671,32.091,31.775,32.433,0.240507789,1.208389969,0.76322536,0.997918564,0.205, Southeast Asia
164,AFG,Afghanistan,1962,4644.11,4497.673,9141.783,2.1398,14.019,726.3,0.020564916,7.671,32.608,32.267,32.974,0.330480821,1.202388679,0.779271384,0.997918564,0.283, Southeast Asia
233,AFG,Afghanistan,1963,4743.604,4595.903,9339.507,2.1987,14.322,723.19,0.020664902,7.671,33.124,32.76,33.513,0.332087613,1.197235801,0.796125935,0.997918564,0.286, Southeast Asia
319,AFG,Afghanistan,1964,4848.166,4698.965,9547.131,2.2565,14.641,720.48,0.023986264,7.671,33.639,33.251,34.051,0.385462311,1.192757417,0.813824391,0.997918564,0.333, Southeast Asia
341,AFG,Afghanistan,1965,4957.974,4807.041,9765.015,2.2791,14.975,719.59,0.028161759,7.671,34.152,33.741,34.587,0.452563056,1.191282276,0.832397438,0.997918564,0.391, Southeast Asia
389,AFG,Afghanistan,1966,5071.537,4918.588,9990.125,2.2936,15.32,709.71,0.029829457,7.671,34.662,34.228,35.12,0.479363168,1.174923538,0.85158645,0.997918564,0.42, Southeast Asia
509,AFG,Afghanistan,1967,5188.586,5033.316,10221.902,2.3577,15.676,711.91,0.034240203,7.671,35.17,34.713,35.65,0.550244425,1.17856422,0.871343776,0.997918564,0.481, Southeast Asia
514,AFG,Afghanistan,1968,5311.794,5153.976,10465.77,2.4858,16.05,719.47,0.031913562,7.671,35.674,35.193,36.175,0.512855007,1.191083992,0.892131772,0.997918564,0.444, Southeast Asia
630,AFG,Afghanistan,1969,5444.84,5284.351,10729.191,2.6346,16.454,713.12,0.023953344,7.671,36.172,35.669,36.696,0.384933285,1.18057074,0.914586522,0.997918564,0.336, Southeast Asia
688,AFG,Afghanistan,1970,5589.427,5426.194,11015.621,2.7561,16.893,709.46,0.04139576,7.671,36.663,36.137,37.208,0.665235132,1.174503339,0.939002623,0.997918564,0.583, Southeast Asia
732,AFG,Afghanistan,1971,5744.702,5578.744,11323.446,2.7948,17.365,658.7,0.045657479,7.671,37.143,36.596,37.71,0.733721507,1.090471809,0.965242495,0.997918564,0.693, Southeast Asia
791,AFG,Afghanistan,1972,5906.569,5737.808,11644.377,2.7275,17.857,630,0.035897154,7.671,37.614,37.044,38.202,0.576871846,1.042954125,0.992599559,0.997918564,0.57, Southeast Asia
855,AFG,Afghanistan,1973,6069.184,5897.168,11966.352,2.5351,18.351,684.06,0.037354743,7.671,38.075,37.483,38.685,0.600295474,1.132460804,1.020045617,0.997918564,0.546, Southeast Asia
