"","Region","Year","PopTotal","GDPTotal","CarbonTotal","GDP","CO2","Tech"
"1"," Africa",1960,276693.172,303612070061.441,42712000,1097.28790149343,0.154365934263098,1.40679519069701
"2"," Africa",1961,283481.311,312278367120.263,44192000,1101.5836141673,0.155890347212342,1.41514765840251
"3"," Africa",1962,290500.31,323097201819.826,45373000,1112.20949065364,0.156189162070085,1.40431423560586
"4"," Africa",1963,297756.326,346304752608.706,48105000,1163.04750686877,0.161558280377224,1.38909442153554
"5"," Africa",1964,305257.721,366229633588.671,52816000,1199.73913317878,0.173021012628211,1.44215528062156
"6"," Africa",1965,313011.679,386676228572.208,58276000,1235.3412173231,0.186178356622917,1.50710066184267
"7"," Africa",1966,321023.802,397099292012.188,60323000,1236.97772420061,0.187908185075947,1.51909109921426
"8"," Africa",1967,329296.963,405840155161.794,64677000,1232.44426995154,0.196409342530134,1.59365698976277
"9"," Africa",1968,337832.827,426684154918.783,70235000,1263.00383153347,0.207898683569907,1.64606534342408
"10"," Africa",1969,346631.97,460211369721.24,75873000,1327.66567873483,0.218886330652075,1.64865548728094
"11"," Africa",1970,355697.031,499343915730.813,82602000,1403.84617303936,0.232225722457605,1.65421060310925
"12"," Africa",1971,365041.402,522433618045.069,90607000,1431.16264397064,0.248210201647209,1.73432560368241
"13"," Africa",1972,374675.47,543465478128.516,96069000,1450.49655406722,0.25640589708208,1.76771117699738
"14"," Africa",1973,384596.614,564155618275.027,103205000,1466.87619635421,0.268346096255543,1.82937112840534
"15"," Africa",1974,394798.903,592737476564.573,106025000,1501.36556120211,0.268554444286285,1.78873454424557
"16"," Africa",1975,405285.685,603159929506.228,105597000,1488.23398365582,0.260549542972385,1.75072969596051
"17"," Africa",1976,416048.457,642852750133.323,114597000,1545.13912818892,0.27544147339549,1.7826321809502
"18"," Africa",1977,427111.711,663303698230.732,118033000,1552.99815281987,0.27635158896404,1.77947145952655
"19"," Africa",1978,438551.072,679347154308.504,126139000,1549.07192726804,0.287626705425087,1.85676791607959
"20"," Africa",1979,450465.576,717697927394.846,136141000,1593.23589999438,0.302222871742812,1.89691226355042
"21"," Africa",1980,462923.564,756626930058.473,146275000,1634.45326377569,0.315980890529911,1.93325130508765
"22"," Africa",1981,475954.235,772974023288.909,149996000,1624.05115123917,0.315147946944941,1.94050505554877
"23"," Africa",1982,489531.522,799081086635.759,156224000,1632.33836989921,0.319129602444682,1.95504564696587
"24"," Africa",1983,503598.892,806124968032.333,162383000,1600.7282399508,0.322445109748176,2.01436509771382
"25"," Africa",1984,518071.111,824551075078.646,177414000,1591.57895040136,0.342451057843293,2.15164354716387
"26"," Africa",1985,532882.528,843599860652.715,181891000,1583.08785956802,0.341334141096103,2.15612885307101
"27"," Africa",1986,548002.698,853407772926.524,188468000,1557.3057870721,0.343918014797803,2.20841672619997
"28"," Africa",1987,563436.544,865600058854.147,188505000,1536.28668227481,0.334562963668895,2.17773783714313
"29"," Africa",1988,579193.855,899233623618.804,198150000,1552.56071150617,0.342113436269105,2.2035430481634
"30"," Africa",1989,595297.222,927780069540.564,190856000,1558.51570484998,0.320606233233858,2.05712545748597
"31"," Africa",1990,611753.71,942303221479.607,187940000,1540.33102877236,0.307215137281309,1.99447476901221
"32"," Africa",1991,628583.245,955585669399.713,194538000,1520.22135015659,0.309486454733613,2.03579863354592
"33"," Africa",1992,645751.741,952824355039.658,194984000,1475.52734982043,0.301948856844042,2.04637926149447
"34"," Africa",1993,663150.005,967904077988.346,204265000,1459.55526003253,0.308022315403587,2.11038474416325
"35"," Africa",1994,680633.623,988126559956.65,206101000,1451.77453267931,0.302807550252333,2.08577532830452
"36"," Africa",1995,698109.187,1016839156385.75,209792000,1456.56177474964,0.300514595577153,2.06317782593743
"37"," Africa",1996,715543.587,1077363276332.5,216115000,1505.65709190333,0.302029120135207,2.00596219258269
"38"," Africa",1997,732997.338,1122661775780.47,218738000,1531.60416495328,0.298415817712015,1.94838734798764
"39"," Africa",1998,750589.388,1173387759394.09,227232000,1563.28850121458,0.302738093067737,1.93654653528461
"40"," Africa",1999,768489.313,1214030591855.25,226293000,1579.76249157709,0.294464732523873,1.86398103571826
"41"," Africa",2000,786832.231,1263877895145.27,239854000,1606.28637891331,0.304834996013273,1.89776244146141
"42"," Africa",2001,805657.623,1324794336595.06,236626000,1644.36393174307,0.293705406918244,1.78613384329652
"43"," Africa",2002,824969.038,1396992417590.62,240394000,1693.38769486113,0.291397602730395,1.72079674143547
"44"," Africa",2003,844822.858,1461648573432.42,253879000,1730.124320846,0.300511518593404,1.73693598184008
"45"," Africa",2004,865274.204,1547147985374.84,274282000,1788.04357996883,0.316988532342749,1.77282330192576
"46"," Africa",2005,886364.378,1631912196219.59,279384000,1841.13016804878,0.315202197803125,1.71200387280153
"47"," Africa",2006,908121.32,1736217580020.65,291115000,1911.87844815784,0.320568401587576,1.67671957334137
"48"," Africa",2007,930551.397,1840827034750.42,305221000,1978.21102701587,0.328000152365577,1.65806452338083
"49"," Africa",2008,953642.567,1940276349850.56,314406000,2034.59494887518,0.329689561770579,1.6204186585288
"50"," Africa",2009,977367.81,1739859281626,325239000,1780.14792775506,0.332770321134272,1.86934083367963
"51"," Africa",2010,1001701.059,1830671036131.21,318823000,1827.56224492642,0.318281584246583,1.74156357809525
